;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
6896;0622934C; ALLEE DES COLVERTS;62710;COURRIÈRES;2.9582295662173994;50.45419629738564; ALLEE DES COLVERTS 62710 COURRIÈRES;2.958882;50.454521;0.780602457002457;middle;ALLÉE DES COLS - VERTS;COURRIÈRES;62710;62;ALLÉE DES COLS - VERTS 62710 COURRIÈRES
6934;0401048X;230 ROUTE DES LACS;40600;BISCARROSSE;-1.157303525227308;44.415721983785815;230 ROUTE DES LACS 40600 BISCARROSSE;-1.25301;44.444549;0.9652854545454544;high;230 ROUTE DES LACS;BISCARROSSE;40600;40;230 ROUTE DES LACS 40600 BISCARROSSE
6947;0920772P;12 RUE HERAULT;92190;MEUDON;2.237691647723829;48.805500863725165;12 RUE HERAULT 92190 MEUDON;2.237692;48.805501;0.9694163636363635;high;12 RUE HÉRAULT;MEUDON;92190;92;12 RUE HÉRAULT 92190 MEUDON
6958;0132757B;9 RUE DE MARATHON;13013;MARSEILLE 13E  ARRONDISSEMENT;5.41271025779708;43.32714707903651;9 RUE DE MARATHON 13013 MARSEILLE 13E  ARRONDISSEMENT;5.429033;43.340303;0.5763690374331552;middle;MARSEILLE 13E ARRONDISSEMENT;MARSEILLE 13E ARRONDISSEMENT;13013;13;MARSEILLE 13E ARRONDISSEMENT
6980;0780791L;  ;78990;ELANCOURT;1.9619598486899907;48.78017901308596;   78990 ELANCOURT;1.959531;48.779035;0.950280909090909;high;ÉLANCOURT;ÉLANCOURT;78990;78;ÉLANCOURT
6988;0490356W;26 RUE DU 19 MARS 1962;49290;MAUGES-SUR-LOIRE;-0.8368405477683346;47.31210781129577;26 RUE DU 19 MARS 1962 49290 MAUGES-SUR-LOIRE;-0.77607;47.348462;0.4896225974025974;middle;26 RUE DES MAUGES;CHALONNES-SUR-LOIRE;49290;49;26 RUE DES MAUGES 49290 CHALONNES-SUR-LOIRE
6990;0110789Y; AVENUE MONTESQUIEU;11100;NARBONNE;3.0197403344543723;43.193702408920025; AVENUE MONTESQUIEU 11100 NARBONNE;3.021493;43.191562;0.9700918181818182;high;AVENUE MONTESQUIEU;NARBONNE;11100;11;AVENUE MONTESQUIEU 11100 NARBONNE
7054;0132472S;44 BOULEVARD BARRY ST JUST;13013;MARSEILLE 13E  ARRONDISSEMENT;5.409819445493916;43.31792263408475;44 BOULEVARD BARRY ST JUST 13013 MARSEILLE 13E  ARRONDISSEMENT;5.409824;43.317924;0.5138363636363636;middle;44 BOULEVARD BARRY;MARSEILLE;13013;13;44 BOULEVARD BARRY 13013 MARSEILLE
7069;0561622J; QUARTIER ;56860;SÉNÉ;-2.719039411387147;47.64862492944391; QUARTIER  56860 SÉNÉ;-2.723591;47.627683;0.5099827272727272;middle;RUE JACQUES CARTIER;SÉNÉ;56860;56;RUE JACQUES CARTIER 56860 SÉNÉ
7118;0830539K;  ;83400;HYÈRES;6.383939600684058;43.00810276397651;   83400 HYÈRES;6.20255;43.116731;0.9536799999999999;high;HYÈRES;HYÈRES;83400;83;HYÈRES
7132;0331754C;28 RUE MARECHAL DE LATTRE DE TASSIGNY;33291;BLANQUEFORT;-0.6282540755296204;44.90678572873168;28 RUE MARECHAL DE LATTRE DE TASSIGNY 33291 BLANQUEFORT;;;;;;;;;
7151;0251199T;7 AVENUE DE BOURGOGNE;25000;BESANÇON;5.974319603525741;47.22058593441463;7 AVENUE DE BOURGOGNE 25000 BESANÇON;5.973998;47.221646;0.8324067532467532;middle;AVENUE DE BOURGOGNE;BESANÇON;25000;25;AVENUE DE BOURGOGNE 25000 BESANÇON
7178;0720607U;21 RUE DU GRECO;72000;LE MANS;0.213135142177244;47.9740602088217;21 RUE DU GRECO 72000 LE MANS;0.194059;48.010434;0.6751817595307917;middle;21 RUE DU PRÉ;LE MANS;72000;72;21 RUE DU PRÉ 72000 LE MANS
7185;7200732H;  ;20290;BORGO;9.441482551097469;42.55959682177368;   20290 BORGO;9.465271;42.577196;0.9456118181818182;high;BORGO;BORGO;20290;2B;BORGO
7187;0781027T;29 RUE SAINT LOUIS;78000;VERSAILLES;2.1280081008464995;48.794386136071616;29 RUE SAINT LOUIS 78000 VERSAILLES;2.128008;48.794386;0.9735736363636364;high;29 RUE SAINT LOUIS;VERSAILLES;78000;78;29 RUE SAINT LOUIS 78000 VERSAILLES
7213;0620678A; RUE CHARLES DE MONTESQUIEU;62000;DAINVILLE;2.7364903167916816;50.286923947308935; RUE CHARLES DE MONTESQUIEU 62000 DAINVILLE;2.73628;50.286695;0.6461178048780488;middle;RUE MONTESQUIEU;DAINVILLE;62000;62;RUE MONTESQUIEU 62000 DAINVILLE
