;0
2040;0
2041;0
2042;1
2043;2
2044;0
2045;0
2046;1
2047;0
2048;0
2049;1
2050;0
2051;1
2052;0
2053;1
2054;0
2055;1
2056;0
2057;0
2058;0
2059;1
2060;35
2061;36
2062;1
2063;0
2064;0
2065;1
2066;0
2067;1
2068;0
2069;0
2070;1
2071;0
2072;0
2073;47
2074;46
2075;0
2076;1
2077;0
2078;1
2079;0
2080;0
2081;1
2082;0
2083;0
2084;0
2085;1
2086;2
2087;0
2088;0
2089;1
2090;1
2091;0
2092;0
2093;0
2094;1
2095;0
2096;1
2097;0
2098;1
2099;4
2100;0
2101;0
2102;1
2103;0
2104;0
2105;47
2106;0
2107;58
2108;1
2109;0
2110;0
2111;0
2112;1
2113;1
2114;0
2115;2
2116;0
2117;1
2118;0
2119;0
2120;1
2121;35
2122;75
2123;76
2124;78
2125;0
2126;0
2127;1
2128;0
2129;0
2130;1
2131;0
2132;0
2133;1
2134;0
2135;0
2136;1
2137;0
2138;1
2139;0
2140;0
2141;0
2142;1
2143;0
2144;1
2145;1
2146;0
2147;0
2148;0
2149;2
2150;1
2151;0
2152;0
2153;0
2154;0
2155;1
2156;0
2157;1
2158;0
2159;0
2160;0
2161;1
2162;0
2163;1
2164;0
2165;0
2166;1
2167;0
2168;1
2169;0
2170;1
2171;40
2172;0
2173;1
2174;0
2175;2
2176;1
2177;0
2178;1
2179;35
2180;36
2181;0
2182;1
2183;0
2184;1
2185;2
2186;1
2187;0
2188;35
2189;0
2190;1
2191;0
2192;39
2193;0
2194;40
2195;0
2196;1
2197;0
2198;1
2199;0
2200;0
2201;1
2202;0
2203;41
2204;42
2205;1
2206;0
2207;1
2208;0
2209;1
2210;0
2211;1
2212;0
2213;0
2214;1
2215;0
2216;1
2217;0
2218;0
2219;0
2220;28
2221;0
2222;1
2223;24
2224;0
2225;0
2226;0
2227;0
2228;1
2229;0
2230;1
2231;0
2232;0
2233;1
2234;0
2235;1
2236;2
2237;0
2238;1
2239;0
2240;0
2241;0
2242;1
2243;0
2244;1
2245;0
2246;70
2247;48
2248;72
2249;79
2250;0
2251;1
2252;0
2253;2
2254;46
2255;1
2256;0
2257;1
2258;1
2259;0
2260;0
2261;0
2262;1
2263;0
2264;1
2265;0
2266;0
2267;1
2268;0
2269;1
2270;0
2271;0
2272;1
2273;0
2274;2
2275;1
2276;35
2277;0
2278;1
2279;0
2280;1
2281;0
2282;1
2283;0
2284;0
2285;1
2286;0
2287;36
2288;35
2289;0
2290;1
2291;0
2292;1
2293;1
2294;56
2295;55
2296;54
2297;0
2298;0
2299;1
2300;0
2301;0
2302;48
2303;47
2304;0
2305;0
2306;1
2307;45
2308;0
2309;1
2310;0
2311;1
2312;1
2313;0
2314;0
2315;1
2316;1
2317;0
2318;0
2319;1
2320;0
2321;1
2322;2
2323;0
2324;43
2325;0
2326;1
2327;1
2328;0
2329;1
2330;0
2331;0
2332;1
2333;0
2334;1
2335;0
2336;1
2337;0
2338;3
2339;0
2340;0
2341;1
2342;4
2343;0
2344;0
2345;1
2346;0
2347;1
2348;0
2349;1
2350;0
2351;0
2352;0
2353;0
2354;0
2355;0
2356;0
2357;0
2358;1
2359;2
2360;0
2361;0
2362;1
2363;0
2364;1
2365;0
2366;1
2367;0
2368;0
2369;1
2370;50
2371;48
2372;0
2373;49
2374;0
2375;1
2376;0
2377;0
2378;0
2379;1
2380;0
2381;0
2382;0
2383;1
2384;0
2385;0
2386;0
2387;1
2388;1
2389;0
2390;0
2391;2
2392;47
2393;1
2394;1
2395;0
2396;0
2397;1
2398;1
2399;0
2400;0
2401;1
2402;1
2403;0
2404;35
2405;0
2406;1
2407;0
2408;1
2409;0
2410;1
2411;0
2412;0
2413;2
2414;0
2415;0
2416;1
2417;0
2418;0
2419;1
2420;0
2421;0
2422;1
2423;0
2424;0
2425;1
2426;1
2427;0
2428;0
2429;1
2430;0
2431;55
2432;54
2433;0
2434;1
2435;0
2436;2
2437;1
2438;0
2439;0
2440;0
2441;0
2442;0
2443;1
2444;0
2445;1
2446;0
2447;1
2448;0
2449;1
2450;2
2451;0
2452;0
2453;0
2454;0
2455;1
2456;36
2457;35
2458;0
2459;1
2460;0
2461;0
2462;1
2463;0
2464;1
2465;0
2466;1
2467;0
2468;0
2469;1
2470;0
2471;0
2472;1
2473;1
2474;0
2475;1
2476;0
2477;0
2478;1
2479;1
2480;0
2481;0
2482;1
2483;0
2484;0
2485;1
2486;0
2487;0
2488;1
2489;2
2490;0
2491;1
2492;35
2493;36
2494;0
2495;1
2496;0
2497;0
2498;1
2499;1
2500;0
2501;0
2502;0
2503;1
2504;0
2505;1
2506;0
2507;1
2508;1
2509;0
2510;0
2511;1
2512;0
2513;0
2514;1
2515;2
2516;0
2517;1
2518;0
2519;0
2520;0
2521;1
2522;0
2523;1
2524;0
2525;1
2526;0
2527;1
2528;0
2529;0
2530;1
2531;1
2532;0
2533;0
2534;1
2535;0
2536;0
2537;0
2538;64
2539;67
2540;1
2541;66
2542;51
2543;52
2544;36
2545;37
2546;0
2547;0
2548;13
2549;1
2550;14
2551;0
2552;0
2553;0
2554;0
2555;1
2556;0
2557;0
2558;1
2559;2
2560;45
2561;0
2562;46
2563;0
2564;1
2565;1
2566;0
2567;0
2568;1
2569;0
2570;0
2571;0
2572;0
2573;1
2574;0
2575;1
2576;0
2577;0
2578;1
2579;1
2580;0
2581;25
2582;0
2583;0
2584;36
2585;1
2586;35
2587;35
2588;36
2589;0
2590;1
2591;0
2592;2
2593;0
2594;1
2595;0
2596;0
2597;1
2598;0
2599;1
2600;0
2601;1
2602;0
2603;1
2604;0
2605;0
2606;1
2607;0
2608;19
2609;9
2610;0
2611;21
2612;20
2613;22
2614;0
2615;1
2616;0
2617;1
2618;0
2619;1
2620;0
2621;22
2622;23
2623;14
2624;21
2625;2
2626;0
2627;2
2628;0
2629;1
2630;2
2631;0
2632;1
2633;1
2634;0
2635;0
2636;1
2637;0
2638;1
2639;0
2640;1
2641;1
2642;0
2643;4
2644;5
2645;0
2646;0
2647;0
2648;0
2649;1
2650;0
2651;0
2652;1
2653;0
2654;1
2655;0
2656;0
2657;1
2658;0
2659;1
2660;0
2661;1
2662;70
2663;45
2664;71
2665;0
2666;1
2667;0
2668;0
2669;0
2670;1
2671;0
2672;3
2673;1
2674;4
2675;0
2676;2
2677;1
2678;0
2679;1
2680;1
2681;0
2682;0
2683;1
2684;0
2685;0
2686;0
2687;1
2688;2
2689;1
2690;0
2691;0
2692;1
2693;0
2694;1
2695;6
2696;7
2697;1
2698;9
2699;0
2700;0
2701;0
2702;2
2703;0
2704;1
2705;0
2706;0
2707;0
2708;0
2709;0
2710;1
2711;2
2712;0
2713;1
2714;0
2715;1
2716;0
2717;0
2718;1
2719;0
2720;1
2721;0
2722;1
2723;0
2724;1
2725;0
2726;0
2727;0
2728;1
2729;6
2730;36
2731;41
2732;0
2733;1
2734;1
2735;0
2736;0
2737;1
2738;0
2739;2
2740;1
2741;0
2742;1
2743;0
2744;1
2745;1
2746;0
2747;0
2748;1
2749;0
2750;0
2751;1
2752;0
2753;1
2754;0
2755;1
2756;0
2757;1
2758;0
2759;1
2760;0
2761;2
2762;1
2763;0
2764;0
2765;1
2766;0
2767;1
2768;1
2769;0
2770;0
2771;1
2772;0
2773;1
2774;1
2775;0
2776;0
2777;1
2778;0
2779;1
2780;0
2781;0
2782;1
2783;0
2784;0
2785;1
2786;0
2787;0
2788;1
2789;35
2790;37
2791;39
2792;36
2793;0
2794;1
2795;0
2796;1
2797;0
2798;1
2799;0
2800;1
2801;0
2802;0
2803;0
2804;0
2805;1
2806;35
2807;36
2808;0
2809;0
2810;0
2811;1
2812;0
2813;40
2814;39
2815;70
2816;0
2817;0
2818;1
2819;0
2820;0
2821;0
2822;0
2823;1
2824;35
2825;36
2826;37
2827;0
2828;1
2829;0
2830;40
2831;39
2832;1
2833;0
2834;0
2835;1
2836;0
2837;0
2838;0
2839;1
2840;0
2841;40
2842;0
2843;0
2844;1
2845;0
2846;44
2847;0
2848;0
2849;1
2850;0
2851;0
2852;0
2853;0
2854;0
2855;38
