;0
1498;0
1499;35
1500;35
1501;15
1502;35
1503;40
1504;0
1505;35
1506;35
1507;42
1508;0
1509;0
1510;3
1511;17
1512;0
1513;2
1514;14
1515;12
1516;12
1517;35
1518;0
1519;0
1520;35
1521;12
1522;13
1523;13
1524;35
1525;35
1526;0
1527;17
1528;12
1529;17
1530;35
1531;53
1532;23
1533;2
1534;35
1535;0
1536;5
1537;13
1538;38
1539;38
1540;11
1541;0
1542;51
1543;35
1544;13
1545;35
1546;35
1547;13
1548;18
1549;43
1550;35
1551;35
1552;0
1553;0
1554;35
1555;40
1556;35
1557;40
1558;29
1559;35
1560;40
1561;18
1562;35
1563;10
1564;22
1565;0
1566;0
1567;5
1568;51
1569;60
1570;35
1571;15
1572;35
1573;0
1574;7
1575;14
1576;47
1577;35
1578;37
1579;37
1580;3
1581;3
1582;0
1583;5
1584;0
1585;0
1586;2
1587;2
1588;2
1589;2
1590;18
1591;6
1592;0
1593;17
1594;15
1595;0
1596;0
1597;3
1598;35
1599;12
1600;35
1601;35
1602;0
1603;11
1604;35
1605;0
1606;47
1607;5
1608;0
1609;5
1610;35
1611;16
1612;0
1613;5
1614;35
1615;49
1616;0
1617;5
1618;58
1619;35
1620;44
1621;0
1622;10
1623;35
1624;35
1625;41
1626;14
1627;14
1628;19
1629;38
1630;13
1631;0
1632;0
1633;2
1634;2
1635;4
1636;4
1637;35
1638;35
1639;23
1640;3
1641;3
1642;0
1643;5
1644;35
1645;0
1646;5
1647;9
1648;18
1649;8
1650;15
1651;2
1652;11
1653;3
1654;3
1655;13
1656;0
1657;70
1658;16
1659;24
1660;14
1661;2
1662;18
1663;0
1664;19
1665;35
1666;14
1667;35
1668;35
1669;35
1670;4
1671;4
1672;28
1673;0
1674;19
1675;35
1676;41
1677;13
1678;9
1679;35
1680;52
1681;40
1682;0
1683;5
1684;0
1685;0
1686;4
1687;18
1688;12
1689;24
1690;35
1691;19
1692;14
1693;14
1694;35
1695;35
1696;20
1697;19
1698;19
1699;35
1700;3
1701;35
1702;21
1703;20
1704;18
1705;6
1706;35
1707;35
1708;70
1709;51
1710;14
1711;35
1712;9
1713;49
1714;35
1715;35
1716;14
1717;35
1718;35
1719;19
1720;16
1721;2
1722;2
1723;0
1724;5
1725;35
1726;7
1727;35
1728;0
1729;35
1730;16
1731;44
1732;37
1733;35
1734;19
1735;25
1736;0
1737;0
1738;5
1739;0
1740;5
1741;2
1742;16
1743;0
1744;0
1745;16
1746;3
1747;25
1748;0
1749;35
1750;35
1751;35
1752;35
1753;20
1754;13
1755;35
1756;15
1757;23
1758;15
1759;19
1760;12
1761;12
1762;0
1763;13
1764;35
1765;0
1766;10
1767;70
1768;17
1769;18
1770;13
1771;35
1772;2
1773;48
1774;13
1775;35
1776;49
1777;22
1778;0
1779;0
1780;35
1781;35
1782;18
1783;42
1784;56
1785;35
1786;35
1787;12
1788;2
1789;2
1790;16
1791;3
1792;3
1793;15
1794;11
1795;35
1796;35
1797;55
1798;35
1799;22
1800;53
1801;0
1802;15
1803;35
1804;17
1805;35
1806;36
1807;36
1808;49
1809;0
1810;5
1811;0
1812;5
1813;14
1814;35
1815;35
1816;35
1817;18
1818;35
1819;15
1820;35
1821;13
1822;22
1823;21
1824;23
1825;35
1826;46
1827;40
1828;2
1829;15
1830;35
1831;15
1832;35
1833;6
1834;35
1835;0
1836;5
1837;19
1838;0
1839;0
1840;0
1841;35
1842;35
1843;35
1844;35
1845;0
1846;0
1847;0
1848;0
1849;35
1850;40
1851;35
1852;53
1853;0
1854;0
1855;22
1856;0
1857;20
1858;35
1859;35
1860;2
1861;2
1862;0
1863;0
1864;0
1865;5
1866;2
1867;3
1868;3
1869;35
1870;0
1871;35
1872;17
1873;0
1874;0
1875;35
1876;0
1877;0
1878;35
1879;35
1880;54
1881;0
1882;0
1883;2
1884;0
1885;0
1886;35
1887;35
1888;0
1889;19
1890;17
1891;35
1892;0
1893;20
1894;0
1895;5
1896;3
1897;3
1898;15
1899;14
1900;35
1901;0
1902;14
1903;0
1904;15
1905;53
1906;35
1907;16
1908;35
1909;0
1910;15
1911;36
1912;35
1913;18
1914;35
1915;13
1916;2
1917;2
1918;14
1919;35
1920;40
1921;0
1922;7
1923;19
1924;12
1925;35
1926;35
1927;0
1928;5
1929;13
1930;35
1931;35
1932;15
1933;0
1934;27
1935;35
1936;35
1937;19
1938;13
1939;35
1940;0
1941;14
1942;19
1943;35
1944;17
1945;44
1946;4
1947;4
1948;9
1949;11
1950;2
1951;2
1952;0
1953;17
1954;12
1955;35
1956;14
1957;0
1958;35
1959;35
1960;35
1961;2
1962;2
1963;3
1964;0
1965;18
1966;14
1967;2
1968;2
1969;0
1970;2
1971;2
1972;35
1973;0
1974;22
1975;22
1976;7
1977;0
1978;0
1979;23
1980;35
1981;35
1982;18
1983;9
1984;13
1985;14
1986;0
1987;94
1988;3
1989;18
1990;35
1991;15
1992;20
1993;16
1994;0
1995;5
1996;2
1997;2
1998;11
1999;12
2000;26
2001;17
2002;35
2003;35
2004;17
2005;15
2006;2
2007;2
2008;35
2009;13
2010;35
2011;35
2012;0
2013;15
2014;2
2015;2
2016;12
2017;38
2018;38
2019;0
2020;0
2021;44
2022;35
2023;0
2024;0
2025;5
2026;19
2027;15
2028;2
2029;2
2030;35
2031;3
2032;3
2033;18
2034;35
2035;13
2036;35
2037;2
2038;14
2039;35
2040;39
2041;39
2042;35
2043;35
2044;6
2045;0
2046;5
2047;15
2048;10
2049;17
2050;2
2051;2
2052;35
2053;35
2054;59
2055;14
2056;0
2057;55
2058;35
2059;21
2060;17
2061;35
2062;52
2063;52
2064;22
2065;0
2066;0
2067;5
2068;35
2069;19
2070;35
2071;4
2072;25
2073;0
2074;5
2075;35
2076;35
2077;52
2078;35
2079;10
2080;35
2081;35
2082;35
2083;35
2084;35
2085;54
2086;18
2087;35
2088;35
2089;35
2090;8
2091;22
2092;35
2093;46
2094;40
2095;25
2096;10
2097;20
2098;0
2099;0
2100;42
2101;35
2102;12
2103;18
2104;35
2105;10
2106;35
2107;18
2108;35
2109;35
2110;35
2111;35
2112;35
2113;54
2114;20
2115;0
2116;5
2117;19
2118;19
2119;0
2120;0
2121;22
2122;16
2123;17
2124;15
2125;35
2126;3
2127;3
2128;3
2129;35
2130;35
2131;35
2132;35
2133;59
2134;0
2135;13
2136;0
2137;5
2138;0
2139;0
2140;53
2141;2
2142;2
2143;16
2144;0
